policy_id,policy_start
fetalhomic,1970
immigration_english_languag,1970
minorstudentcapacitytoborrowact1969,1970
post_convictionprocedureactmodel,1970
regulations_lemonla,1970
adoptionact19531969,1971
bottle,1971
controlledsubstancesact,1971
genderrights_state_era,1971
probatecode,1971
statrape,1971
alcoholismandintoxicationtreatment,1972
anyid2,1972
anyphotoid2,1972
cappun,1972
consumersalespractices,1972
deathpen,1972
estatetaxapportionmentandprobatecode3_916,1972
genderrights_era_ratificatio,1972
mailreg,1972
requireanyid2,1972
residentiallandlordandtenantact1972,1972
rico,1972
abortion_consent_1973_199,1973
clinic_access,1973
creditcardtheft,1973
dispositionofcommunitypropertyrightsatdeathact1971,1973
drugs_marijuana_decriminalizati,1973
dutiestopersonswithmedicaliddevices,1973
foca,1973
furprog,1973
hmomod1,1973
infconsent,1973
managementofinstitutionalfundsact,1973
marriageanddivorceactmodel,1973
parnotific,1973
physreq,1973
postvia,1973
pubcamfun,1973
rapeshield,1973
retailtheft,1973
trap_hosp,1973
trap_lic,1973
uccarticle9amendments,1973
uccarticle9securedtransactions1998,1973
waiting,1973
witnessintimidation,1973
wk20via,1973
aging,1974
childpornography,1974
cpban,1974
disclaimerofpropertyinterestsact1973,1974
elecdayreg,1974
guncontrol_satnightspecial_ba,1974
imcontsub,1974
parconsent,1974
roeovertur,1974
sonofsam,1974
sonsam,1974
transport,1974
w_ec_access_expan,1974
bangag,1975
boehmke_snrpres,1975
concealedcarry,1975
insandefref,1975
insanity,1975
multistatehighwaytransportationagreement,1975
natreso,1975
parentageact1973,1975
regulation_pain_suffering_limit,1975
rulesofevidence1974,1975
sexselect,1975
snrpresc,1975
soexorder,1975
w_envir_solar_taxcredit_loca,1975
w_envir_solar_taxcredit_stat,1975
dual_enroll,1976
hsexit,1976
livingwill,1976
motorvoter,1976
refuseserv,1976
regulation_boehmke_livingwil,1976
rightdie,1976
st_wd_tran,1976
tels,1976
trusteespowersact1964,1976
u_record_sys,1976
classactions,1977
fundslife,1977
gambling_casino,1977
rackact,1977
compcrime,1978
dev_s4,1978
environ,1978
hatecrime,1978
hatecrimes,1978
insprivate,1978
inspublic,1978
inswaiver,1978
kegreg,1978
medmar,1978
parcounsel,1978
trap,1978
willsrecognitionact,1978
connecticutriveratlanticsalmoncompact,1979
interstaterailpassengernetworkcompact,1979
limitedpartnership1976,1979
pbf,1979
perforfun,1979
victimnotif,1979
victimnotification,1979
audio_visualdeposition,1980
barbanstate,1980
condominiumact,1980
durablepowerofattorney,1980
fetaldispos,1980
helmetlaw_17,1980
helmetlaw_learn,1980
helmetlaw_pass,1980
interstatehighspeedrailnetworkcompact,1980
keg_reg,1980
minfine,1980
opencont,1980
preconvictdays,1980
prisondayswag,1980
restaurantbanstate,1980
tradesecretsact,1980
aborparc,1981
aborparn,1981
abortion_medicai,1981
childrest,1981
childseat,1981
const_protect,1981
determinationofdeathact,1981
econdev,1981
enterzone,1981
northwestcompactonlow_levelradioactivewastemanagement,1981
pubfacilities,1981
regulation_hate_crime,1981
revenue,1981
solaw,1981
bootcamp,1982
comsrv12,1982
conservationeasementact,1982
exemptionsactmodel,1982
funds_avail,1982
