city	state	permalink	created_at	lat	long	adoption_case
Philadelphia	PA	puunln-pnsr	7/30/14 20:27	39.927238	-75.166338	1
Eugene	OR	oryyl-gndhrevn	7/30/14 22:12	44.054784	-123.092954	1
Dripping Springs	TX	gur-zrepnagvyr-j-zrepre	7/30/14 23:05	30.192576	-98.089129	1
Evanston	IL	527-pnsr	7/31/14 14:04	42.046213	-87.679208	1
ASHEVILLE	NC	fbirervta-erzrqvrf	7/31/14 15:30	35.59666	-82.551371	1
New York	NY	pbssrr-oernx	7/31/14 15:37	40.751985	-73.96978	1
Fort Worth	TX	orneqrq-rry-pensg-oerjrel	7/31/14 19:00	32.860151	-97.364138	1
New Orleans	Louisiana	pnfn-obeertn	7/31/14 19:07	29.939496	-90.080768	1
Blackwood	NJ	fnxhen-fhfuv-wncnarfr-fgrnx-ubhfr	7/31/14 19:37	39.755479	-75.046669	1
Glen Ellyn 	Il	n-gbqn-znqer	7/31/14 20:02	41.87752	-88.066718	1
Chicago	IL	enzra-gnxrln	7/31/14 21:28	41.88664	-87.648367	1
Oakland	CA	orna-fcebhgf-bnxynaq	8/1/14 0:46	37.818677	-122.180485	1
Los Angeles	CA	orna-fcebhgf-yn	8/1/14 1:03	34.27296	-118.393221	1
Santa Ana	CA	orna-fcebhgf-benatr-pbhagl	8/1/14 1:12	33.770889	-117.868493	1
Sausalito	CA	orna-fcebhgf-fnhfnyvgb	8/1/14 1:22	37.835591	-122.476401	1
Berkeley	CA	ryzjbbq-pnsr	8/1/14 1:33	37.858348	-122.253308	1
Montclair	CA	qbypr-pnsr-naq-onxrel	8/1/14 1:50	34.093329	-117.68842	1
San Francisco	CA	fbyhan	8/1/14 20:40	37.780788	-122.416493	1
Torrance	CA	pncvpbyn-f	8/1/14 21:50	33.797878	-118.341046	1
San Francisco	CA	fbhf-orheer-xvgpura	8/1/14 21:57	37.753106	-122.406734	1
Statesboro	GA	fbhgu-pvgl-gnirea	8/1/14 23:24	32.414187	-81.784079	1
Philadelphia	PA	nor-svfure	8/4/14 14:17	39.950748	-75.168151	1
Los Angeles	CA	zrybql-cvmmn	8/4/14 18:23	33.953411	-118.395837	1
Austin	TX	phirr-pbssrr-one-nhfgva	8/4/14 18:23	30.261483	-97.720973	1
Pensacola	Fl	xbua-f-ba-cnynsbk	8/4/14 19:48	30.411737	-87.214904	1
Healdsburg	CA	urnyqfohet-one-tevyy	8/5/14 0:00	38.610003	-122.870693	1
Gilbert	AZ	fvqrjvaqre-fhof	8/5/14 0:33	33.349768	-111.82104	1
Palm Springs	CA	rearfg-pbssrr-pb-bar	8/5/14 19:19	33.83751	-116.547015	1
Palm Springs	CA 	rearfg-pbssrr-pb-gjb	8/5/14 19:36	33.837513	-116.54739	1
Houston	Tx	fmrpujna-jbx	8/5/14 20:34	29.775491	-95.186986	1
New York	NY	qbhtu-oblf-cvmmn	8/6/14 23:45	40.743791	-73.979114	1
Athens	Georgia	znzn-f-obl-2	8/7/14 18:29	33.959368	-83.36849	1
Woodstock	NY	jbbqfgbpx-pbzzhar-fnybba	8/7/14 19:45	42.040544	-74.153722	1
Oneonta	NY	o-fvqr-onyyebbz	8/8/14 20:40	42.452308	-75.063292	1
Seattle	WA	oranebln-unyy	8/11/14 18:18	47.60812	-122.337159	1
San Francisco	CA	ubhfr-tbng	8/11/14 19:51	37.790841	-122.40128	1
San Francisco	CA	ehzbef	8/12/14 0:51	37.775469	-122.406658	1
Avondale Estates	Georgia	cnyybbxnivyyr-svar-sbbqf	8/12/14 20:03	33.776523	-84.267113	1
New York	NY	gur-ybqtr-pnfrl	8/13/14 4:18	40.733129	-73.998044	1
Minneapolis	MN	zrepunag	8/13/14 18:38	44.9854	-93.269481	1
Branford	CT	r-zpurael-f-vevfu-cho	8/13/14 21:12	41.260775	-72.801156	1
Long Beach	CA	serfu-xnobof	8/13/14 22:20	33.771529	-118.190122	1
Providence	RI	oenff-zbaxrl-eubqr-vfynaq	8/14/14 13:46	41.79313	-71.397099	1
Tallahassee	FL	zbqn	8/14/14 18:35	30.436364	-84.296884	1
New York	NY	fbhy-bs-gur-fcnpr	8/14/14 23:13	40.719267	-73.985156	1
Golden	CO	oneeryf-obggyrf	8/15/14 22:00	39.756526	-105.219955	1
Bend	Oregon	iryirg-ybhatr	8/15/14 23:44	44.058301	-121.315182	1
Greenfield 	Ohio	pngpu-22-fcbegf-cho	8/18/14 14:21	39.351716	-83.382405	1
Sidney	MT	zrnqbjynex-choyvp-ubhfr	8/18/14 18:14	47.714745	-104.157523	1
