policy_id,adopted_year,state,state_name,long,lat,adoption_case,state_num
abortion_consent_1992_201,2004,AK,Alaska,-134.5721,58.3637,1,22
abortion_consent_1992_201,2005,GA,Georgia,-84.3897,33.7545,1,26
abortion_consent_1992_201,2005,OK,Oklahoma,-97.4591,35.4931,1,35
abortion_consent_1992_201,2006,FL,Florida,-84.2806,30.4382,1,12
abortion_consent_1992_201,2010,MO,Missouri,-92.1941,38.5698,1,23
abortion_consent_1992_201,2011,AZ,Arizona,-112.0738,33.4483,1,17
abortion_consent_1992_201,2011,NC,North Carolina,-78.6434,35.7797,1,9
abortion_medicai,1981,AK,Alaska,-134.5721,58.3637,1,22
abortion_medicai,1981,CA,California,-121.4871,38.5737,1,0
abortion_medicai,1981,HI,Hawaii,-157.8219,21.292,1,30
abortion_medicai,1981,MA,Maine,-71.0568,42.3589,1,10
abortion_medicai,1981,MD,Maryland,-76.5197,38.9693,1,19
abortion_medicai,1981,MI,Michigan,-84.5466,42.7336,1,21
abortion_medicai,1981,NC,North Carolina,-78.6434,35.7797,1,9
abortion_medicai,1981,NY,New York ,-73.7551,42.6517,1,2
abortion_medicai,1981,WA,Washington,-122.9016,47.0449,1,4
abortion_medicai,1981,WV,West Virginia,-81.6354,38.3533,1,48
abortion_medicai,1982,NJ,New Jersey,-74.7642,40.2202,1,7
abortion_medicai,1983,OR,Oregon,-123.0272,44.937,1,3
abortion_medicai,1985,VT,Vermont,-72.5716,44.2627,1,45
abortion_medicai,1986,CT,Connecticut,-72.6732,41.7665,1,1
abortion_medicai,1994,ID,Idaho,-116.2125,43.6021,1,36
abortion_medicai,1994,MN,Minnesota,-93.1027,44.9446,1,8
abortion_medicai,1995,IL,Illinois,-89.6533,39.8018,1,6
abortion_medicai,1995,MT,Montana,-112.0205,46.5911,1,14
abortion_medicai,1998,NM,New Mexico,-105.9381,35.6816,1,31
abortion_medicai,2002,AZ,Arizona,-112.0738,33.4483,1,17
abortion_partial_birt,1996,MS,Mississippi,-90.178,32.3122,1,24
abortion_partial_birt,1996,UT,Utah,-111.8882,40.7716,1,43
abortion_partial_birt,1997,AL,Alabama,-86.2996,32.3754,1,25
abortion_partial_birt,1997,GA,Georgia,-84.3897,33.7545,1,26
abortion_partial_birt,1997,IN,Indiana,-86.1563,39.767,1,46
abortion_partial_birt,1997,SC,South Carolina,-81.0353,34.0007,1,39
abortion_partial_birt,1997,SD,South Dakota,-100.3177,44.3776,1,40
abortion_partial_birt,1997,TN,Tennessee,-86.7821,36.1589,1,41
abortion_partial_birt,1998,KS,Kansas,-95.6815,39.0474,1,15
abortion_partial_birt,1998,OK,Oklahoma,-97.4591,35.4931,1,35
abortion_partial_birt,1998,WI,Wisconsin,-89.4007,43.0632,1,47
abortion_partial_birt,1999,ND,North Dakota,-100.7694,46.8084,1,27
abortion_reform_prero,1967,CA,California,-121.4871,38.5737,1,0
abortion_reform_prero,1967,CO,Colorado,-104.9881,39.7551,1,5
abortion_reform_prero,1967,NC,North Carolina,-78.6434,35.7797,1,9
abortion_reform_prero,1968,GA,Georgia,-84.3897,33.7545,1,26
abortion_reform_prero,1968,MD,Maryland,-76.5197,38.9693,1,19
abortion_reform_prero,1969,AR,Arkansas,-92.2789,34.7244,1,44
abortion_reform_prero,1969,DE,Delaware,-75.5136,39.1615,1,18
abortion_reform_prero,1969,KS,Kansas,-95.6815,39.0474,1,15
abortion_reform_prero,1969,NM,New Mexico,-105.9381,35.6816,1,31
abortion_reform_prero,1969,OR,Oregon,-123.0272,44.937,1,3
abortion_reform_prero,1970,AK,Alaska,-134.5721,58.3637,1,22
abortion_reform_prero,1970,HI,Hawaii,-157.8219,21.292,1,30
abortion_reform_prero,1970,NY,New York ,-73.7551,42.6517,1,2
abortion_reform_prero,1970,SC,South Carolina,-81.0353,34.0007,1,39
abortion_reform_prero,1970,VA,Virginia,-77.4339,37.5408,1,13
abortion_reform_prero,1970,WA,Washington,-122.9016,47.0449,1,4
abortion_reform_prero,1972,FL,Florida,-84.2806,30.4382,1,12
absvot,1960,NV,Nevada,-119.7519,39.1501,1,32
absvot,1969,AR,Arkansas,-92.2789,34.7244,1,44
absvot,1970,HI,Hawaii,-157.8219,21.292,1,30
absvot,1973,ID,Idaho,-116.2125,43.6021,1,36
absvot,1976,WA,Washington,-122.9016,47.0449,1,4
absvot,1978,CA,California,-121.4871,38.5737,1,0
absvot,1983,OR,Oregon,-123.0272,44.937,1,3
absvot,1991,IA,Iowa,-93.6203,41.5888,1,33
absvot,1992,AZ,Arizona,-112.0738,33.4483,1,17
absvot,1992,CO,Colorado,-104.9881,39.7551,1,5
absvot,1992,OK,Oklahoma,-97.4591,35.4931,1,35
absvot,1993,VT,Vermont,-72.5716,44.2627,1,45
absvot,1994,NE,Nebraska,-97.548,41.1786,1,28
absvot,1994,NM,New Mexico,-105.9381,35.6816,1,31
absvot,1996,AK,Alaska,-134.5721,58.3637,1,22
absvot,1996,KS,Kansas,-95.6815,39.0474,1,15
absvot,1997,MT,Montana,-112.0205,46.5911,1,14
absvot,1998,FL,Florida,-84.2806,30.4382,1,12
absvot,1999,WY,Wyoming,-104.8165,41.1389,1,49
absvot,2000,ME,Massachusetts,-69.7323,44.3294,1,20
absvot,2000,NC,North Carolina,-78.6434,35.7797,1,9
absvot,2000,ND,North Dakota,-100.7694,46.8084,1,27
absvot,2000,WI,Wisconsin,-89.4007,43.0632,1,47
absvot,2003,GA,Georgia,-84.3897,33.7545,1,26
absvot,2003,IN,Indiana,-86.1563,39.767,1,46
absvot,2003,SD,South Dakota,-100.3177,44.3776,1,40
acctlic,1896,NY,New York ,-73.7551,42.6517,1,2
acctlic,1897,IL,Illinois,-89.6533,39.8018,1,6
acctlic,1900,MD,Maryland,-76.5197,38.9693,1,19
acctlic,1901,CA,California,-121.4871,38.5737,1,0
acctlic,1903,WA,Washington,-122.9016,47.0449,1,4
acctlic,1904,NJ,New Jersey,-74.7642,40.2202,1,7
acctlic,1905,MI,Michigan,-84.5466,42.7336,1,21
acctlic,1906,PA,Pennsylvania,-76.8849,40.274,1,37
acctlic,1906,RI,Rhode Island,-71.4087,41.827,1,38
acctlic,1907,CO,Colorado,-104.9881,39.7551,1,5
acctlic,1907,CT,Connecticut,-72.6732,41.7665,1,1
acctlic,1907,UT,Utah,-111.8882,40.7716,1,43
acctlic,1908,GA,Georgia,-84.3897,33.7545,1,26
acctlic,1908,LA,Louisiana,-91.1882,30.4493,1,11
acctlic,1908,OH,Ohio,-83.0007,39.9622,1,34
acctlic,1909,MA,Maine,-71.0568,42.3589,1,10
