"policy_id","adopted_year","state_id"
"regulation_boehmke_grandvis",1982,"AK"
"regulation_boehmke_livingwil",1986,"AK"
"regulation_boehmke_shiel",1967,"AK"
"regulation_hate_crime",1982,"AK"
"regulation_homerul",1959,"AK"
"regulation_mandatory_seatbelt",1991,"AK"
"regulation_motorcycle_helmet",1971,"AK"
"regulation_pain_suffering_limit",2005,"AK"
"regulation_sedition_law",1949,"AK"
"regulations_lemonla",1984,"AK"
"regulations_state_debt_limitati",1958,"AK"
"repsodomy",1980,"AK"
"residentiallandlordandtenantact1972",1974,"AK"
"rightsoftheterminallyillact1985",1986,"AK"
"sexreginfo",1994,"AK"
"shield",1967,"AK"
"shoplift",1978,"AK"
"simultaneousdeathact1940",1985,"AK"
"soexorder",2002,"AK"
"sonofsam",1984,"AK"
"st_wd_tran",1989,"AK"
"standground",2006,"AK"
"statrapage",1983,"AK"
"statrape",1983,"AK"
"statutoryruleagainstperpetuities",1994,"AK"
"tels",1982,"AK"
"threestrikes",1996,"AK"
"todsecurityregistrationact",1996,"AK"
"tradesecretsact",1988,"AK"
"transferstominorsact",1990,"AK"
"trap_hosp",1973,"AK"
"u_record_sys",2009,"AK"
"uccarticle1generalprovisions2001",2009,"AK"
"uccarticle2aleases19871990",1993,"AK"
"uccarticle3negotiableinstruments1990",1993,"AK"
"uccarticle4aamendments2012",2013,"AK"
"uccarticle4afundstransfers1989",1993,"AK"
"uccarticle5lettersofcredit1995",1999,"AK"
"uccarticle6bulksales1989",1993,"AK"
"uccarticle7documentsoftitle2003",2009,"AK"
"uccarticle8investmentsecurities",1990,"AK"
"uccarticle8investmentsecurities1994",1996,"AK"
"uccarticle9amendments",1982,"AK"
"uccarticle9amendments2010",2013,"AK"
"uccarticle9securedtransactions1998",2000,"AK"
"unclaimedpropertyact19521981",1986,"AK"
"unionlimits",1992,"AK"
"viccomp",1972,"AK"
"vicrtsamd",1994,"AK"
"victimnotif",1989,"AK"
"victimrights",1994,"AK"
"voterid",1980,"AK"
"w_abortion_parental_notice_1983",2010,"AK"
"w_animal_cruelty_felon",2008,"AK"
"w_ec_access_expan",2001,"AK"
"w_envir_solar_taxcredit_loca",2010,"AK"
"w_environment_endangered_specie",2010,"AK"
"w_race_disc_public_accommodatio",1945,"AK"
"westerncorrectionscompact",1961,"AK"
"westerninterstateenergycompact",1969,"AK"
"westernregionaleducationcompact",1955,"AK"
"willsrecognitionact",1996,"AK"
"witnessint",1978,"AK"
"wmd",2002,"AK"
"zerotol",1996,"AK"
"zerotoleranceapis",1997,"AK"
"zerotolerancelaw",1997,"AK"
"aborparc",1987,"AL"
"abortion_consent_1992_201",2002,"AL"
"abortion_partial_birt",1997,"AL"
"acctlic",1919,"AL"
"adawork",1953,"AL"
"adc",1936,"AL"
"adcom",1939,"AL"
"admittpriv",2013,"AL"
"adultguardianshipandprotectiveproceedingsjurisdictionact",2010,"AL"
"aging",1974,"AL"
"agreementondetainers",1981,"AL"
"agreementonqualificationsofeducationalpersonnel",1977,"AL"
"aidperm",1950,"AL"
"airpol",1940,"AL"
"alcbevcon",1940,"AL"
"alctreat",1945,"AL"
"amber",2003,"AL"
"anatomicalgift1968",1970,"AL"
"anatomicalgiftact1987",2003,"AL"
"anatomicalgiftact2006",2008,"AL"
"anim_cruel_felonfirs",2000,"AL"
"animcruel",2000,"AL"
"antibully",2009,"AL"
"antistalk",1992,"AL"
"anyid2",2003,"AL"
"anyphotoid2",2011,"AL"
"appointmentofcommissioners",1951,"AL"
"archlic",1931,"AL"
"athleteagentsact",2001,"AL"
"athleteagentsact2015",2016,"AL"
"attendanceofoutofstatewitnesses",1977,"AL"
"ausbalsys",1893,"AL"
"autism",2012,"AL"
"autoreg",1903,"AL"
"bikehelmet",1995,"AL"
"bldstds_yearadopted",2006,"AL"
"blind",1937,"AL"
"boh",1875,"AL"
"bootcamp",1991,"AL"
"breastdensity",2013,"AL"
"breastfeed",2006,"AL"
"broadcom",1996,"AL"
"budgstd",1919,"AL"
"buildingcode",1957,"AL"
"candlim",2013,"AL"
"cctheft",1977,"AL"
"childabductionprevention",2010,"AL"
"childabu",1965,"AL"
"childabuse",1965,"AL"
"childcustodyjurisdictionandenforcementact",1980,"AL"
"childlab",1919,"AL"
"childpornography",1989,"AL"
"childrest",1982,"AL"
"childseat",1982,"AL"
"chirolic",1911,"AL"
"cigtax",1927,"AL"
"citzon",1923,"AL"
"civildefenseanddisastercompact",1955,"AL"
"colcanscr",2004,"AL"
"collaborativelawact",2013,"AL"
"collegesavings",2002,"AL"
"compactforeducation",1969,"AL"
"compactonmentalhealth",1975,"AL"
"compactonplacementofchildren",1979,"AL"
"compcrime",1985,"AL"
"compsch",1915,"AL"
"comsrv12",1983,"AL"
"conacchwy",1956,"AL"
"concealedcarry",1975,"AL"
"condominiumact",1991,"AL"
"conservationeasementact",1997,"AL"
"consgsoil",1945,"AL"
"controlledsubstancesact",1972,"AL"
"corporlimits",1992,"AL"
"cpban",1989,"AL"
"creditcardtheft",1977,"AL"
"crimeviccomp",1984,"AL"
"deathpen",1976,"AL"
"debtlim",1867,"AL"
"declaratoryjudgmentsact",1935,"AL"
"denlic",1881,"AL"
"determinationofdeathact",2000,"AL"
"dev_s1",1996,"AL"
"dirprim",1904,"AL"
"disclaimerofpropertyinterestsact1973",1981,"AL"
"divisionofincomefortaxpurposes",1967,"AL"
"driverlicensecompact",1966,"AL"
"drugs_boehmke_statrapag",1977,"AL"
"drugtest",1995,"AL"
"dui",1995,"AL"
"dui08",1995,"AL"
"dwireform",1995,"AL"
"education",1980,"AL"
"education_teacher_cert_elementa",1955,"AL"
"education_teacher_cert_h",1939,"AL"
"edutv",1953,"AL"
"electronictransactionsact",2001,"AL"
"emergencymanagementassistancecompact",2000,"AL"
"eminentdomaincode",1985,"AL"
"enforcementofforeignjudgmentsact",1987,"AL"
"englic",1935,"AL"
"engonly",1990,"AL"
"enterzone",1988,"AL"
"environmentalcovenantsact",2007,"AL"
"estatetaxapportionmentandprobatecode3_916",2007,"AL"
"expsta",1888,"AL"
"famlim",1994,"AL"
"federallienregistrationact",1989,"AL"
"fetaldispos",2003,"AL"
"fetalhomic",2006,"AL"
"fetalpain",2011,"AL"
"filmtaxcredit",2009,"AL"
"fish",1870,"AL"
"foia",1923,"AL"
"foreign_countrymoneyjudgmentsrecognitionact",2012,"AL"
"forest",1907,"AL"
"fraudulenttransferact1984",1989,"AL"
"frontpass_seatbelt",1992,"AL"
"fundslife",1988,"AL"
"fundslifehea",1994,"AL"
"furlough",1983,"AL"
"furprog",1983,"AL"
"gagrule",2002,"AL"
"gastax",1923,"AL"
"gaymarban",2008,"AL"
"gayrights_ban_sodom",1962,"AL"
"gdl",2002,"AL"
"genderrights_nofault_divorc",1971,"AL"
"grandvist",1984,"AL"
"guardianshipandprotectiveproceedingsact1997",1987,"AL"
"guncontrl_waitperiod_handgu",1937,"AL"
"guncontrol_licenses_dealer",1936,"AL"
"guncontrol_opencarr",1961,"AL"
"hatecrimes",2001,"AL"
"hazing",2001,"AL"
"health",1990,"AL"
"healthcarecompact",2013,"AL"
"helmetlaw_17",2006,"AL"
"helmetlaw_learn",2006,"AL"
"helmetlaw_pass",2006,"AL"
"hmomod1",1986,"AL"
"hostliability",1998,"AL"
"hsexit",1981,"AL"
"hwyagen",1911,"AL"
"ide",1997,"AL"
"identitytheft",2001,"AL"
"idtheft",2001,"AL"
"imcontsub",1982,"AL"
"imitcontsub",1982,"AL"
"immigration_english_languag",1970,"AL"
"inctax",1933,"AL"
"indlimit",1994,"AL"
"infconsent",1990,"AL"
"ins_stateexch",2012,"AL"
"insprivate",2012,"AL"
"intbar",1923,"AL"
"interstatecompactforadultoffendersupervision",2002,"AL"
"interstatecompactforjuveniles",1965,"AL"
"interstatecompactonadoptionandmedicalassistance",1991,"AL"
"interstatecompactoneducationalopportunityformilitarychildren",2009,"AL"
"interstatecompacttoconserveoilandgas",1945,"AL"
"interstatecorrectionscompact",1985,"AL"
"interstatedepositionsanddiscoveryact",2012,"AL"
"interstateenforcementofdomesticviolenceprotectionordersact",2003,"AL"
"interstatefamilysupportact19921996",1997,"AL"
"interstatefamilysupportactamendments2008",2015,"AL"
"interstateinsuranceproductregulationcompact",2011,"AL"
"interstatelibrarycompact",1973,"AL"
"interstatemedicallicensurecompact",2015,"AL"
"jucoen",1953,"AL"
"juvct",1911,"AL"
"juvisup",1965,"AL"
"kidhelmet",1995,"AL"
"kinship",1999,"AL"
"labor_age_discriminatio",1997,"AL"
"labor_prevailing_wage_la",1941,"AL"
"labor_right_to_wor",1953,"AL"
"labor_state_retirement_syste",1945,"AL"
"laborag",1935,"AL"
"legpre",1945,"AL"
"legresea",1945,"AL"
"libext",1907,"AL"
"licenseplate",2002,"AL"
"licenses_accountant",1919,"AL"
"limitedliabilitycompany19951996",1998,"AL"
"limitedliabilitycompany2006lastamended2013",2014,"AL"
"limitedpartnership1976",1983,"AL"
"limitedpartnershipact1916",1972,"AL"
"limitedpartnershipact2001lastamended2013",2009,"AL"
"livingwill",1981,"AL"
"mailreg",1995,"AL"
"mandatorydispositionofdetainers",1978,"AL"
"medicaid_stateadoptio",1970,"AL"
"medicalrest",2013,"AL"
"meganslaw",1996,"AL"
"merit",1939,"AL"
"methpre",2004,"AL"
"minfine",1980,"AL"
"mlda21",1985,"AL"
"modelstateadministrativeprocedureact1981",1969,"AL"
"mothpen",1931,"AL"
"motorhelm",1967,"AL"
"motorvoter",1995,"AL"
"multiple_personaccounts",1997,"AL"
"multistatetaxcompact",1967,"AL"
"nationalguardmutualassistancecounter_drugactivitiescompact",1996,"AL"
"nrmlsch",1907,"AL"
"nrslic",1915,"AL"
"offwmh",2002,"AL"
"oldagea",1936,"AL"
"opencont",2001,"AL"
"painmanagement",2000,"AL"
"parconsent",1988,"AL"
"parentageact",2008,"AL"
"parentageact1973",1984,"AL"
"parksys",1923,"AL"
"parolesup",1939,"AL"
"partitionofheirspropertyact",2014,"AL"
"partnershipact1914",1972,"AL"
"partnershipact1997lastamended2013",1996,"AL"
"personaltax_yearadopted",1990,"AL"
"pharmlic",1931,"AL"
"physreq",1990,"AL"
"pldvpag",1943,"AL"
"powerofattorney",2011,"AL"
"pre20wk",1997,"AL"
"preconvictdays",1984,"AL"
"prepaid",1989,"AL"
"prepaytut",1989,"AL"
"prescdrug",2006,"AL"
"primaryenforce_all",2000,"AL"
"primseat",1999,"AL"
"principalandincomeact2000",2000,"AL"
"principalandincomeamendments2008",2012,"AL"
"prob",1931,"AL"
