policy_id,adopted_year,state,state_name,long,lat,adoption_case
helmetlaw_learn,1980,AK,Alaska,-134.5721,58.3637,1
helmetlaw_pass,1980,AK,Alaska,-134.5721,58.3637,1
higissue,1993,AK,Alaska,-134.5721,58.3637,1
higrenew,1993,AK,Alaska,-134.5721,58.3637,1
hiport,1993,AK,Alaska,-134.5721,58.3637,1
hiprecon,1993,AK,Alaska,-134.5721,58.3637,1
hmomod2,1989,AK,Alaska,-134.5721,58.3637,1
hostliability,2007,AK,Alaska,-134.5721,58.3637,1
hsexit,1997,AK,Alaska,-134.5721,58.3637,1
humantraffic,2006,AK,Alaska,-134.5721,58.3637,1
ide,1997,AK,Alaska,-134.5721,58.3637,1
idtheft,2001,AK,Alaska,-134.5721,58.3637,1
imitcontsub,1983,AK,Alaska,-134.5721,58.3637,1
immigration_english_languag,1998,AK,Alaska,-134.5721,58.3637,1
indlimit,1992,AK,Alaska,-134.5721,58.3637,1
infconsent,1988,AK,Alaska,-134.5721,58.3637,1
insanity,1982,AK,Alaska,-134.5721,58.3637,1
inst_tu_vet,2009,AK,Alaska,-134.5721,58.3637,1
interstatecompactforadultoffendersupervision,2002,AK,Alaska,-134.5721,58.3637,1
interstatecompactforjuveniles,1960,AK,Alaska,-134.5721,58.3637,1
interstatecompactoneducationalopportunityformilitarychildren,2009,AK,Alaska,-134.5721,58.3637,1
interstatecompacttoconserveoilandgas,1980,AK,Alaska,-134.5721,58.3637,1
interstatecorrectionscompact,1984,AK,Alaska,-134.5721,58.3637,1
interstatedepositionsanddiscoveryact,2015,AK,Alaska,-134.5721,58.3637,1
interstatefamilysupportact19921996,1995,AK,Alaska,-134.5721,58.3637,1
interstatefamilysupportactamendments2008,2015,AK,Alaska,-134.5721,58.3637,1
interstateinsuranceproductregulationcompact,2007,AK,Alaska,-134.5721,58.3637,1
labor_age_discriminatio,1960,AK,Alaska,-134.5721,58.3637,1
labor_collective_bargaining_sta,1973,AK,Alaska,-134.5721,58.3637,1
labor_collective_bargaining_tea,1971,AK,Alaska,-134.5721,58.3637,1
labor_minimumwage_me,1955,AK,Alaska,-134.5721,58.3637,1
labor_minwage_abovefe,1968,AK,Alaska,-134.5721,58.3637,1
labor_prevailing_wage_la,1931,AK,Alaska,-134.5721,58.3637,1
labor_state_ada_antidiscri,1969,AK,Alaska,-134.5721,58.3637,1
landsalespractices,1968,AK,Alaska,-134.5721,58.3637,1
lemon,1984,AK,Alaska,-134.5721,58.3637,1
licenseplate,2012,AK,Alaska,-134.5721,58.3637,1
lien,1997,AK,Alaska,-134.5721,58.3637,1
livingwill,1986,AK,Alaska,-134.5721,58.3637,1
mailreg,1976,AK,Alaska,-134.5721,58.3637,1
medicaid_stateadoptio,1972,AK,Alaska,-134.5721,58.3637,1
medmar,1979,AK,Alaska,-134.5721,58.3637,1
meganslaw,1994,AK,Alaska,-134.5721,58.3637,1
missplan,1959,AK,Alaska,-134.5721,58.3637,1
mlda21,1984,AK,Alaska,-134.5721,58.3637,1
moneyservicesact,2007,AK,Alaska,-134.5721,58.3637,1
motorhelm,1971,AK,Alaska,-134.5721,58.3637,1
motorvoter,1992,AK,Alaska,-134.5721,58.3637,1
mprisdm,1983,AK,Alaska,-134.5721,58.3637,1
multistatetaxcompact,1970,AK,Alaska,-134.5721,58.3637,1
naticurric,2005,AK,Alaska,-134.5721,58.3637,1
nationalcrimepreventionandprivacycompact,2001,AK,Alaska,-134.5721,58.3637,1
nationalguardmutualassistancecompact,1968,AK,Alaska,-134.5721,58.3637,1
newbornheartscreen,2013,AK,Alaska,-134.5721,58.3637,1
norealid,2008,AK,Alaska,-134.5721,58.3637,1
northwestcompactonlow_levelradioactivewastemanagement,1983,AK,Alaska,-134.5721,58.3637,1
opencont,1989,AK,Alaska,-134.5721,58.3637,1
pacificmarinefisheriescompact,1962,AK,Alaska,-134.5721,58.3637,1
paperterror,1997,AK,Alaska,-134.5721,58.3637,1
parnotific,2010,AK,Alaska,-134.5721,58.3637,1
partnershipact1997lastamended2013,2000,AK,Alaska,-134.5721,58.3637,1
physreq,1991,AK,Alaska,-134.5721,58.3637,1
pre20wk,1997,AK,Alaska,-134.5721,58.3637,1
preconvictdays,2003,AK,Alaska,-134.5721,58.3637,1
primaryenforce_all,2006,AK,Alaska,-134.5721,58.3637,1
principalandincomeact1962,1984,AK,Alaska,-134.5721,58.3637,1
principalandincomeact2000,2003,AK,Alaska,-134.5721,58.3637,1
probatecode,1972,AK,Alaska,-134.5721,58.3637,1
prudentinvestoract,1998,AK,Alaska,-134.5721,58.3637,1
prudentmanagementofinstitutionalfundsact,2010,AK,Alaska,-134.5721,58.3637,1
pubbrefeed,1998,AK,Alaska,-134.5721,58.3637,1
race_boehmke_fhpu,1962,AK,Alaska,-134.5721,58.3637,1
race_boehmke_fhur,1962,AK,Alaska,-134.5721,58.3637,1
race_disc_publicaccom_agenc,1963,AK,Alaska,-134.5721,58.3637,1
race_fair_employmen,1965,AK,Alaska,-134.5721,58.3637,1
race_fair_housing_owne,1962,AK,Alaska,-134.5721,58.3637,1
racialpro,2003,AK,Alaska,-134.5721,58.3637,1
rapeshield,1975,AK,Alaska,-134.5721,58.3637,1
realpropertytransferondeathact,2014,AK,Alaska,-134.5721,58.3637,1
recognitionofsubstitutedecision_makingdocuments,2016,AK,Alaska,-134.5721,58.3637,1
refuseserv,1991,AK,Alaska,-134.5721,58.3637,1
regulation_boehmke_grandvis,1982,AK,Alaska,-134.5721,58.3637,1
regulation_boehmke_livingwil,1986,AK,Alaska,-134.5721,58.3637,1
regulation_boehmke_shiel,1967,AK,Alaska,-134.5721,58.3637,1
regulation_hate_crime,1982,AK,Alaska,-134.5721,58.3637,1
regulation_homerul,1959,AK,Alaska,-134.5721,58.3637,1
regulation_mandatory_seatbelt,1991,AK,Alaska,-134.5721,58.3637,1
regulation_motorcycle_helmet,1971,AK,Alaska,-134.5721,58.3637,1
regulation_pain_suffering_limit,2005,AK,Alaska,-134.5721,58.3637,1
regulation_sedition_law,1949,AK,Alaska,-134.5721,58.3637,1
regulations_lemonla,1984,AK,Alaska,-134.5721,58.3637,1
regulations_state_debt_limitati,1958,AK,Alaska,-134.5721,58.3637,1
repsodomy,1980,AK,Alaska,-134.5721,58.3637,1
residentiallandlordandtenantact1972,1974,AK,Alaska,-134.5721,58.3637,1
rightsoftheterminallyillact1985,1986,AK,Alaska,-134.5721,58.3637,1
sexreginfo,1994,AK,Alaska,-134.5721,58.3637,1
shield,1967,AK,Alaska,-134.5721,58.3637,1
shoplift,1978,AK,Alaska,-134.5721,58.3637,1
simultaneousdeathact1940,1985,AK,Alaska,-134.5721,58.3637,1
soexorder,2002,AK,Alaska,-134.5721,58.3637,1
sonofsam,1984,AK,Alaska,-134.5721,58.3637,1
st_wd_tran,1989,AK,Alaska,-134.5721,58.3637,1
standground,2006,AK,Alaska,-134.5721,58.3637,1
statrapage,1983,AK,Alaska,-134.5721,58.3637,1
statrape,1983,AK,Alaska,-134.5721,58.3637,1
statutoryruleagainstperpetuities,1994,AK,Alaska,-134.5721,58.3637,1
tels,1982,AK,Alaska,-134.5721,58.3637,1
threestrikes,1996,AK,Alaska,-134.5721,58.3637,1
todsecurityregistrationact,1996,AK,Alaska,-134.5721,58.3637,1
tradesecretsact,1988,AK,Alaska,-134.5721,58.3637,1
transferstominorsact,1990,AK,Alaska,-134.5721,58.3637,1
trap_hosp,1973,AK,Alaska,-134.5721,58.3637,1
u_record_sys,2009,AK,Alaska,-134.5721,58.3637,1
uccarticle1generalprovisions2001,2009,AK,Alaska,-134.5721,58.3637,1
uccarticle2aleases19871990,1993,AK,Alaska,-134.5721,58.3637,1
uccarticle3negotiableinstruments1990,1993,AK,Alaska,-134.5721,58.3637,1
uccarticle4aamendments2012,2013,AK,Alaska,-134.5721,58.3637,1
uccarticle4afundstransfers1989,1993,AK,Alaska,-134.5721,58.3637,1
uccarticle5lettersofcredit1995,1999,AK,Alaska,-134.5721,58.3637,1
uccarticle6bulksales1989,1993,AK,Alaska,-134.5721,58.3637,1
uccarticle7documentsoftitle2003,2009,AK,Alaska,-134.5721,58.3637,1
uccarticle8investmentsecurities,1990,AK,Alaska,-134.5721,58.3637,1
uccarticle8investmentsecurities1994,1996,AK,Alaska,-134.5721,58.3637,1
uccarticle9amendments,1982,AK,Alaska,-134.5721,58.3637,1
uccarticle9amendments2010,2013,AK,Alaska,-134.5721,58.3637,1
uccarticle9securedtransactions1998,2000,AK,Alaska,-134.5721,58.3637,1
unclaimedpropertyact19521981,1986,AK,Alaska,-134.5721,58.3637,1
unionlimits,1992,AK,Alaska,-134.5721,58.3637,1
viccomp,1972,AK,Alaska,-134.5721,58.3637,1
vicrtsamd,1994,AK,Alaska,-134.5721,58.3637,1
victimnotif,1989,AK,Alaska,-134.5721,58.3637,1
victimrights,1994,AK,Alaska,-134.5721,58.3637,1
voterid,1980,AK,Alaska,-134.5721,58.3637,1
w_abortion_parental_notice_1983,2010,AK,Alaska,-134.5721,58.3637,1
w_animal_cruelty_felon,2008,AK,Alaska,-134.5721,58.3637,1
w_ec_access_expan,2001,AK,Alaska,-134.5721,58.3637,1
w_envir_solar_taxcredit_loca,2010,AK,Alaska,-134.5721,58.3637,1
w_environment_endangered_specie,2010,AK,Alaska,-134.5721,58.3637,1
w_race_disc_public_accommodatio,1945,AK,Alaska,-134.5721,58.3637,1
westerncorrectionscompact,1961,AK,Alaska,-134.5721,58.3637,1
westerninterstateenergycompact,1969,AK,Alaska,-134.5721,58.3637,1
westernregionaleducationcompact,1955,AK,Alaska,-134.5721,58.3637,1
willsrecognitionact,1996,AK,Alaska,-134.5721,58.3637,1
witnessint,1978,AK,Alaska,-134.5721,58.3637,1
wmd,2002,AK,Alaska,-134.5721,58.3637,1
zerotol,1996,AK,Alaska,-134.5721,58.3637,1
zerotoleranceapis,1997,AK,Alaska,-134.5721,58.3637,1
zerotolerancelaw,1997,AK,Alaska,-134.5721,58.3637,1
aborparc,1987,AL,Alabama,-86.2996,32.3754,1
abortion_consent_1992_201,2002,AL,Alabama,-86.2996,32.3754,1
abortion_partial_birt,1997,AL,Alabama,-86.2996,32.3754,1
acctlic,1919,AL,Alabama,-86.2996,32.3754,1
adawork,1953,AL,Alabama,-86.2996,32.3754,1
adc,1936,AL,Alabama,-86.2996,32.3754,1
adcom,1939,AL,Alabama,-86.2996,32.3754,1
admittpriv,2013,AL,Alabama,-86.2996,32.3754,1
adultguardianshipandprotectiveproceedingsjurisdictionact,2010,AL,Alabama,-86.2996,32.3754,1
aging,1974,AL,Alabama,-86.2996,32.3754,1
agreementondetainers,1981,AL,Alabama,-86.2996,32.3754,1
agreementonqualificationsofeducationalpersonnel,1977,AL,Alabama,-86.2996,32.3754,1
aidperm,1950,AL,Alabama,-86.2996,32.3754,1
airpol,1940,AL,Alabama,-86.2996,32.3754,1
alcbevcon,1940,AL,Alabama,-86.2996,32.3754,1
alctreat,1945,AL,Alabama,-86.2996,32.3754,1
amber,2003,AL,Alabama,-86.2996,32.3754,1
