state	policy	created_at	lat	long	adoption_case
CA	gur-fvyirefgne-tevyy	12/1/14 15:52	34.084443	-118.385162	1
CA	pnsr-14	12/1/14 17:53	34.084443	-118.385162	1
NC	gur-zrrgvat-pbeare	12/1/14 22:06	35.910736	-79.066605	1
WA	freraqvcvgl-pnsr-frnggyr	12/1/14 23:34	47.630808	-122.374517	1
CA	oba-znepur	12/2/14 19:03	34.084443	-118.385162	1
CA	naqvrf-pnsr	12/9/14 18:49	34.084443	-118.385162	1
CA	bar-gjragl-guerr	12/10/14 21:52	34.084443	-118.385162	1
CA	znva-fgerrg-one-naq-pnonerg	12/11/14 17:54	34.084443	-118.385162	1
CA 	oebjafgbar-ovfgeb	12/16/14 23:00	34.084443	-118.385162	1
CA	ahqn-fna-crqeb	12/18/14 17:38	34.084443	-118.385162	1
CA	ahqn-orireyl-uvyyf	12/18/14 17:48	34.084443	-118.385162	1
CA	rqtvrf	12/18/14 18:09	34.084443	-118.385162	1
CA	gur-snovbyhf-phpvan-pnsr	12/18/14 20:05	34.084443	-118.385162	1
CA	gur-cvmmn-fgngvba	12/19/14 16:28	34.084443	-118.385162	1
CA	gur-yvggyr-rnfl	12/20/14 0:36	34.084443	-118.385162	1
CA	gur-bar-hc	12/20/14 4:27	34.084443	-118.385162	1
CA	wnk-qvare	12/29/14 19:21	34.084443	-118.385162	1
CA	orggl-snlr-f-pnsr	12/29/14 19:54	34.084443	-118.385162	1
CA	xvyyebl-f-fnaqjvpu-snpgbel-sbbguvyy	12/29/14 20:39	34.084443	-118.385162	1
CA	cncn-cvyb-f-cvmmn	12/29/14 20:46	34.084443	-118.385162	1
CA	pnyniren	12/31/14 18:20	34.084443	-118.385162	1
CA	mhmh	12/31/14 18:23	34.084443	-118.385162	1
CA	knau-erfgnhenag	1/1/15 1:08	34.084443	-118.385162	1
CA	oyhe	1/1/15 2:01	34.084443	-118.385162	1
CA 	nfnc-cubentr	1/6/15 23:15	34.084443	-118.385162	1
CA	unm-zng	1/8/15 0:40	34.084443	-118.385162	1
CA	cvax-fnyg-tevyy	1/10/15 1:04	34.084443	-118.385162	1
CA	fvzcyrguvatf-3eq-fgerrg	1/21/15 19:27	34.084443	-118.385162	1
CA	cnevfu-choyvpx-ubhfr	1/26/15 18:51	34.084443	-118.385162	1
CA	gur-znvqra-choyvpx-ubhfr	1/26/15 20:44	34.084443	-118.385162	1
CA	ehfgl-f-fbhgurea	1/29/15 1:24	34.084443	-118.385162	1
CA	gur-pbex-cybhtu	1/29/15 19:47	34.084443	-118.385162	1
WA	rzzn-f-ng-gnubzn-inyyrl	1/29/15 20:26	47.630808	-122.374517	1
CA	svyvccbf-cvmmn	1/30/15 23:25	34.084443	-118.385162	1
WA	pbhmva-f-pnsr	2/1/15 0:53	47.630808	-122.374517	1
CA	zry-f-svfu-znexrg	2/6/15 21:10	34.084443	-118.385162	1
CA	j-unhf-frnsbbq-one	2/10/15 1:37	34.084443	-118.385162	1
CA	funlna-rkcerff	2/12/15 19:08	34.084443	-118.385162	1
CA	pbssrrcerarhe-yn-yyp	2/17/15 0:47	34.084443	-118.385162	1
WA	nyy-fgne-fcbegf-one	2/17/15 21:51	47.630808	-122.374517	1
CA	zvavone-ubyyljbbq	2/18/15 19:30	34.084443	-118.385162	1
CA	prageb	2/18/15 21:33	34.084443	-118.385162	1
WA	shrtb-zrkvpna-erfgnhenag	2/19/15 0:20	47.630808	-122.374517	1
WA	yn-pbpvan	2/19/15 0:29	47.630808	-122.374517	1
NC	pryroengvba-pbggntr	2/19/15 21:39	35.910736	-79.066605	1
CA	ehgg-f-unjnvvna-pnsr	2/24/15 22:48	34.084443	-118.385162	1
CA	cebiraqre	2/26/15 19:18	34.084443	-118.385162	1
CA	tnzrf-guebarf	3/2/15 22:07	34.084443	-118.385162	1
WA	zbxfun	3/3/15 22:54	47.630808	-122.374517	1
CA	qbural-sbbq-pb	3/6/15 17:28	34.084443	-118.385162	1
CA	gjb-fvfgref-one-naq-obbxf	3/9/15 23:43	34.084443	-118.385162	1
CA	gunv-qvfurf	3/10/15 22:28	34.084443	-118.385162	1
CA	gevcyr-ibbqbb	3/16/15 18:05	34.084443	-118.385162	1
CA	gur-terra-byvir-tneqran	3/23/15 22:42	34.084443	-118.385162	1
CA	gur-jubyr-ornfg-ng-gur-lneq	3/24/15 22:47	34.084443	-118.385162	1
WA	rgfv-oenib	3/25/15 18:53	47.630808	-122.374517	1
CA	ybf-gbebf-zrkvpna-erfgnhenag	3/25/15 21:26	34.084443	-118.385162	1
CA	v-ybir-fjrrgrn-2	3/26/15 22:53	34.084443	-118.385162	1
CA	travhf-ovfgeb	3/27/15 20:35	34.084443	-118.385162	1
CA	travhf-rfcerffb-one	3/27/15 20:54	34.084443	-118.385162	1
